ID;assignment;blog;chat;course;forum;quiz;resource;upload;user;PeriodoLetivo;StatusFinal
36217-5468;8;0;3;40;22;0;13;0;2;20120202;INsucesso
36223-5468;10;0;6;17;28;1;10;1;3;20120202;SUCESSO
36227-5469;4;0;9;13;11;0;18;0;9;20120202;INsucesso
36228-5469;8;0;9;33;53;31;38;2;1;20120202;INsucesso
36230-5468;13;0;5;17;10;0;11;1;2;20120202;INsucesso
36240-6398;17;0;6;36;31;32;39;3;8;20130102;SUCESSO
36245-7098;26;0;0;17;14;5;0;1;0;20130202;INsucesso
36252-7118;29;0;13;78;128;40;30;4;5;20130202;SUCESSO
36253-7098;53;0;130;158;389;60;65;8;6;20130202;SUCESSO
36263-5468;24;0;28;102;141;45;50;1;14;20120202;SUCESSO
36264-6388;24;0;26;69;124;68;58;0;37;20130102;SUCESSO
36267-5468;25;0;8;42;14;50;13;2;18;20120202;SUCESSO
36274-7098;10;0;18;21;52;15;36;0;4;20130202;SUCESSO
36276-6388;22;1;0;87;61;41;93;1;45;20130102;SUCESSO
36278-7274;19;0;0;67;126;51;79;3;9;20130202;SUCESSO
36279-7098;11;0;0;12;45;4;30;2;0;20130202;SUCESSO
36285-5468;44;1;41;226;440;66;100;2;33;20120202;SUCESSO
36309-5469;6;0;5;20;31;0;14;0;0;20120202;INsucesso
36309-7274;1;0;1;9;12;0;3;0;0;20130202;INsucesso
36316-5468;20;0;1;58;87;13;36;2;18;20120202;SUCESSO
36318-5469;3;0;6;24;9;0;7;0;1;20120202;INsucesso
36318-6398;1;0;1;9;3;0;10;0;0;20130102;INsucesso
36318-7098;17;0;9;90;122;28;43;4;10;20130202;INsucesso
36320-5388;28;0;9;38;19;22;63;3;2;20120202;INsucesso
36337-5469;93;0;14;101;156;23;63;4;3;20120202;SUCESSO
36341-5388;0;0;0;3;2;0;5;0;0;20120202;INsucesso
36342-6398;10;0;4;92;158;53;26;0;1;20130102;SUCESSO
36354-5388;42;0;20;69;105;12;36;8;2;20120202;SUCESSO
36357-5388;45;0;19;44;32;24;27;5;3;20120202;SUCESSO
36359-7098;24;0;3;26;19;27;25;1;2;20130202;INsucesso
