ID;assignment;blog;chat;course;forum;quiz;resource;upload;user;PeriodoLetivo;StatusFinal
45543-7274;14;0;26;56;119;26;14;0;3;20130202;SUCESSO
45563-7098;7;0;0;33;70;34;29;1;13;20130202;SUCESSO
45566-7098;13;1;18;49;90;34;31;1;11;20130202;SUCESSO
45577-7274;16;0;48;80;160;34;48;1;17;20130202;INsucesso
45603-7274;10;0;117;72;142;41;46;7;5;20130202;SUCESSO
45609-7098;7;0;2;15;37;1;1;1;5;20130202;INsucesso
45623-7098;15;0;1;37;55;142;12;1;8;20130202;INsucesso
45626-7118;33;0;1;62;190;10;68;2;2;20130202;SUCESSO
45627-7098;45;2;77;171;328;120;160;4;94;20130202;SUCESSO
45629-7274;44;1;20;65;57;75;15;1;11;20130202;INsucesso
45642-7098;22;0;6;39;89;28;80;1;11;20130202;SUCESSO
45656-7098;21;0;28;90;166;25;42;1;53;20130202;INsucesso
45662-7274;5;0;1;30;4;0;4;0;1;20130202;INsucesso
45683-7098;16;0;0;73;107;14;24;1;33;20130202;SUCESSO
45692-7274;17;0;0;11;2;2;1;1;0;20130202;INsucesso
45696-7098;24;0;19;93;260;119;61;1;13;20130202;SUCESSO
45709-7274;24;0;2;58;66;51;30;2;4;20130202;SUCESSO
45726-7098;6;0;1;27;25;37;25;1;4;20130202;SUCESSO
45735-7098;30;0;62;82;113;49;69;0;25;20130202;SUCESSO
45746-7274;7;0;1;34;36;3;37;0;4;20130202;INsucesso
45751-7118;36;0;27;72;75;8;67;2;33;20130202;INsucesso
45761-7098;44;0;7;95;186;114;57;1;3;20130202;INsucesso
45770-7118;24;0;7;83;114;173;59;3;9;20130202;SUCESSO
45790-7274;7;0;0;5;0;0;2;2;0;20130202;INsucesso
45801-7274;19;2;93;91;189;54;57;2;10;20130202;INsucesso
45818-7098;6;0;0;40;55;13;8;1;22;20130202;SUCESSO
45869-7098;35;1;56;48;126;49;46;1;10;20130202;SUCESSO
45935-7274;23;0;4;36;31;40;61;0;6;20130202;SUCESSO
45975-7098;1;0;0;9;5;0;12;0;0;20130202;INsucesso
45989-7274;7;0;1;15;20;0;20;0;4;20130202;INsucesso
45993-7118;18;0;14;70;101;28;41;3;6;20130202;INsucesso
46073-7098;21;1;0;49;31;67;18;5;4;20130202;SUCESSO
46199-7098;12;0;0;10;15;1;11;3;2;20130202;SUCESSO
46225-7274;23;0;4;41;44;14;78;3;1;20130202;SUCESSO
46349-7118;20;1;0;57;166;66;47;2;17;20130202;SUCESSO
46681-7274;5;0;2;26;35;34;42;0;2;20130202;SUCESSO
46776-7098;17;0;9;38;92;18;32;1;9;20130202;SUCESSO
46813-7098;13;0;0;15;3;16;5;1;0;20130202;INsucesso
47585-7274;1;0;0;4;0;0;5;0;0;20130202;INsucesso
48049-7118;41;5;77;90;221;32;90;3;86;20130202;SUCESSO
48059-7118;22;1;21;53;156;72;83;0;23;20130202;INsucesso
48068-7118;15;2;11;45;59;42;59;0;17;20130202;INsucesso
48070-7098;27;1;35;99;235;21;44;2;53;20130202;SUCESSO
48088-7098;34;3;7;91;135;207;46;1;35;20130202;SUCESSO
48103-7118;34;3;39;130;572;32;163;2;93;20130202;SUCESSO
48117-7118;25;2;3;103;138;50;36;1;19;20130202;SUCESSO
48127-7118;27;0;13;42;46;34;72;3;11;20130202;SUCESSO
48128-7118;26;2;25;56;100;19;37;0;26;20130202;SUCESSO
48131-7118;22;5;22;126;233;18;94;2;119;20130202;SUCESSO
48140-7118;14;0;12;35;51;25;65;1;14;20130202;INsucesso
48148-7118;46;2;47;171;342;52;107;2;42;20130202;SUCESSO
48160-7098;13;0;9;71;166;8;61;1;5;20130202;INsucesso
48167-7274;43;6;47;50;31;9;42;1;23;20130202;INsucesso
48234-7118;66;3;28;142;374;58;102;1;40;20130202;SUCESSO
48239-7274;19;1;3;34;34;28;35;1;5;20130202;INsucesso
48297-7118;38;1;18;60;32;47;63;3;2;20130202;INsucesso
48301-7118;12;0;9;35;13;10;15;1;17;20130202;INsucesso
488-7118;15;0;0;15;8;40;18;3;1;20130202;SUCESSO
4887-4605;23;0;2;26;35;66;27;2;1;20120102;SUCESSO
495-7098;10;0;5;32;62;0;14;1;6;20130202;SUCESSO
5250-7118;14;0;19;42;50;3;40;1;11;20130202;SUCESSO
5411-7274;19;0;0;24;13;0;26;2;12;20130202;INsucesso
595-4604;36;0;2;27;26;18;17;3;18;20120102;SUCESSO
6039-4130;0;0;5;4;12;0;6;0;0;20120102;INsucesso
6079-7118;21;0;3;41;151;4;39;2;2;20130202;SUCESSO
6168-7118;12;0;0;12;0;3;8;1;0;20130202;SUCESSO
6177-4130;35;0;5;50;13;32;55;3;15;20120102;SUCESSO
630-7118;14;0;12;34;32;1;21;1;0;20130202;SUCESSO
6389-4130;1;0;0;5;2;0;1;0;0;20120102;SUCESSO
6469-6388;5;0;1;15;14;0;15;0;0;20130102;INsucesso
6640-4130;38;0;42;134;518;28;108;6;6;20120102;SUCESSO
7642-4130;2;0;0;10;2;8;8;0;0;20120102;SUCESSO
7777-4130;15;0;4;43;80;1;2;0;7;20120102;SUCESSO
8040-4130;15;0;3;18;15;16;11;1;10;20120102;INsucesso
8167-7098;24;0;21;149;283;45;105;1;38;20130202;SUCESSO
8461-7274;9;0;0;15;14;1;5;1;0;20130202;INsucesso
8642-6398;11;0;11;29;6;45;44;1;0;20130102;SUCESSO
9396-7118;17;0;20;39;71;31;46;1;16;20130202;INsucesso
9782-4605;0;0;3;1;1;0;0;0;0;20120102;INsucesso
